top_n,alpha,sharpe,vol_ratio,mse
20,0.0001,0.5732950910690178,1.0506779535634063,0.0001240468141034392
15,0.0001,0.5720462645091131,1.0359257995797706,0.00012381485883147385
25,0.0001,0.5664599179018903,1.0681235826148239,0.00012576344903646186
15,0.0005,0.5592709128452125,1.0042906665361322,0.00012322398953228285
20,0.0005,0.5592709128452125,1.0042906665361322,0.00012322398953228285
25,0.0005,0.5592709128452125,1.0042906665361322,0.00012322398953228285
15,0.001,0.5588986728439392,0.9997442480577725,0.0001232836383320569
20,0.001,0.5588986728439392,0.9997442480577725,0.0001232836383320569
25,0.001,0.5588986728439392,0.9997442480577725,0.0001232836383320569
