experiment,sharpe_mean,sharpe_std,sharpe_median,vol_ratio_mean,vol_ratio_std,mse_mean,pos_mean_avg,pos_std_avg,pos_range_avg
H3a_large_k500,0.8357369234028319,0.292482921278677,0.7953050197612496,1.2557420582143255,0.14123878033626341,0.00012597359436364373,0.8282374386129113,0.6809669222779652,2.0
H6a_vol_boost_k500,0.8244266336389545,0.2927515406537274,0.7235087439625951,1.2669733451152463,0.11608268117151206,0.00012597359436364373,0.7953152465236905,0.7148308203017113,2.0
H2a_pred_scaling_k50,0.8210757113591077,0.20954912437490736,0.7612006262251539,1.1279725404094059,0.08129044472580267,0.00020869003907544745,0.918299708724281,0.40252734739729623,1.9591272432242832
H2a_pred_scaling_k200,0.7957580005757172,0.2905676070712559,0.7298628108101626,1.3021087260608493,0.13557543796433852,0.00020869003907544745,0.7759037000110303,0.7848098958621149,2.0
H6a_vol_boost_k200,0.7946883304568295,0.17646201207797543,0.7945773778644125,1.1455823455666938,0.093041679025951,0.00012597359436364373,0.8760476594783906,0.4634448352133784,1.9213829231870634
H3a_large_k200,0.7878192535910343,0.15913773028111192,0.7686669473334872,1.134657774606036,0.0931698886657109,0.00012597359436364373,0.9322074296020926,0.3960229738951796,2.0
H5a_ensemble,0.7877945156406028,0.20487197674866695,0.7951395856235661,1.1482724168300145,0.10736708493189648,0.00012597359436364373,0.8794865355762974,0.48843336796706477,1.7191702729870635
H3a_large_k1000,0.7779094561226817,0.31395344216048354,0.713141145702477,1.3173431885589806,0.14462542038045204,0.00012597359436364373,0.7699423102805999,0.8101763869658157,2.0
H3a_large_k2000,0.7058739781954169,0.29718131535840986,0.6583929606347356,1.3603026672278586,0.1412377800392192,0.00012597359436364373,0.7448071387449378,0.879941758374248,2.0
H2a_pred_scaling_k500,0.7043559600385928,0.30008601358006054,0.6533326777543204,1.3639395184168133,0.1354307118729889,0.00020869003907544745,0.7428792489524478,0.8822950068616036,2.0
H1a_pos_direct_k100,0.670751127020648,0.25165687879818227,0.717692098420616,1.1267670781364307,0.18352403430585618,0.000185060959533091,1.0033852900414602,0.3325218532652105,1.5926388270354033
H1a_pos_direct_k200,0.6456471538698972,0.3628885740822573,0.8205326242445414,1.0944251154584443,0.17070975447911882,0.00020563961107196828,0.9355051229159164,0.3753779721786976,1.7615510960248106
BASELINE,0.6410309700567113,0.18615996661664924,0.5048345135004592,1.027567321343668,0.026106936328852342,0.00012597359436364373,0.9875589638095859,0.11638021002504226,0.8766810919482542
H1a_pos_direct_k50,0.6308861714274275,0.21722009970423287,0.5594366689611066,1.146630788282509,0.20304139217576403,0.00016501988774765276,1.0649530646883572,0.23787566105347552,1.258388900364254
