mse,vol_ratio,sharpe,strat_vol,mkt_vol,pos_mean,pos_std,pos_min,pos_max,fold,k,hypothesis
0.0001492697161139344,0.9753520759153625,0.5317359576296913,0.01177635716975276,0.012073955098419936,0.947185218334198,0.09841757267713547,0.6747759580612183,1.3521451950073242,1,50,H3_feature_eng
9.743205388554156e-05,1.0742305502798353,0.34733962978975824,0.010528128956636995,0.009800623296269535,1.026991844177246,0.08465069532394409,0.7383262515068054,1.6113650798797607,2,50,H3_feature_eng
0.00018143976154518188,1.1371503967528955,0.37106121703507666,0.015087847927431891,0.013268120004631633,1.0364344120025635,0.11366036534309387,0.808825671672821,1.761698603630066,3,50,H3_feature_eng
6.795636838009215e-05,1.0763674596369475,0.8864146536437831,0.008818132657985738,0.00819249279512783,0.999452531337738,0.08025763183832169,0.7421798706054688,1.9182519912719727,4,50,H3_feature_eng
0.000131659280505658,1.1145537006634985,0.7782128716002389,0.012666653987801084,0.011364776753475919,1.000597596168518,0.09708309173583984,0.8027380108833313,1.91448974609375,5,50,H3_feature_eng
0.0001492697161139344,0.9637017219042392,0.5802389090639793,0.01163569131854176,0.012073955098419936,0.8943703770637512,0.19683514535427094,0.3495519757270813,1.7042902708053589,1,100,H3_feature_eng
9.743205388554156e-05,1.1593425733664044,0.40680018739636076,0.011362279832891856,0.009800623296269535,1.0538341999053955,0.16836462914943695,0.47665250301361084,2.0,2,100,H3_feature_eng
0.00018143976154518188,1.2811986499129495,0.3561126589613486,0.016999097436817046,0.013268120004631633,1.0714375972747803,0.22052474319934845,0.6176513433456421,2.0,3,100,H3_feature_eng
6.795636838009215e-05,1.1332857591651893,0.9155336642638455,0.009284435416781787,0.00819249279512783,0.9967473745346069,0.14185763895511627,0.4843597412109375,2.0,4,100,H3_feature_eng
0.000131659280505658,1.2050847474336746,0.7450654982422628,0.013695519123602624,0.011364776753475919,0.9977734684944153,0.1704331785440445,0.6054760217666626,2.0,5,100,H3_feature_eng
0.0001492697161139344,0.9587170845328193,0.6944300615357278,0.011575507030737332,0.012073955098419936,0.7865778803825378,0.3816800117492676,0.0,2.0,1,200,H3_feature_eng
9.743205388554156e-05,1.2969145491321385,0.4891582001992292,0.012710570943495337,0.009800623296269535,1.1022002696990967,0.3164648115634918,0.0,2.0,2,200,H3_feature_eng
0.00018143976154518188,1.4315687831721895,0.3215760022599115,0.018994226410013092,0.013268120004631633,1.1161137819290161,0.3575335144996643,0.2353026270866394,2.0,3,200,H3_feature_eng
6.795636838009215e-05,1.1975697429475487,0.9408098805689655,0.00981108149076088,0.00819249279512783,0.9831683039665222,0.22606469690799713,0.0,2.0,4,200,H3_feature_eng
0.000131659280505658,1.2775824977349224,0.6895051938394411,0.014519439870905548,0.011364776753475919,0.9814063310623169,0.2751161456108093,0.21095210313796997,2.0,5,200,H3_feature_eng
