feature,importance
P8*S2,0.016705476
M4*V7,0.01659111
P8/P7,0.014998746
V7*P7,0.014821454
M4/S2,0.012824244
S2*S5,0.012283512
S5/P7,0.012142304
M4*P8,0.011854342
M4²,0.011829949
V13²,0.011593654
V7/P7,0.011502062
P8²,0.011396294
V7*I2,0.011319905
I2*E19,0.011294039
M4/P8,0.010907128
S2/P5,0.010775192
V7*P5,0.010592085
P5,0.010543684
P5/P7,0.010467255
V7/P8,0.010463628
M4/I2,0.010365442
M4/V7,0.010265875
M4/P5,0.01011235
P8/P5,0.010055642
V13/S2,0.010027586
V13*I2,0.009992513
M4/E19,0.009915948
M4/P7,0.009846469
I2/S5,0.009837848
V13/P7,0.009674843
P8*I2,0.009609316
V7/S5,0.0095887985
V7*S5,0.009583298
V13*E19,0.009529831
I2/P5,0.009513201
P5*P7,0.0094647845
V7*E19,0.00942652
P11,0.00942407
S2/P7,0.009377436
S2/S5,0.009350285
V13*S2,0.009320305
S2*P5,0.009313285
I2*S5,0.009280295
V7*P8,0.009248654
E19*P5,0.009242316
V7/I2,0.009236792
M3,0.009228907
P10,0.009100636
I2,0.009049981
V13*P5,0.008994848
S2*I2,0.008908153
P8*P7,0.008868805
M4*V13,0.008776471
P8*S5,0.0087724775
P8*E19,0.008736709
V7/P5,0.008726525
P8/S2,0.00869787
M4*I2,0.008635033
V13*P8,0.008590926
S8,0.008562286
E19*P7,0.008503498
S5/P5,0.008388113
P8/S5,0.008329117
E12,0.008328385
M4/S5,0.0082831
S2²,0.008281671
V13/I2,0.008269776
V13/V7,0.008263102
V7,0.008249338
S2*E19,0.008223348
V9,0.008085631
E19/P5,0.008078808
V13/S5,0.008027881
M4*P5,0.007971224
S2/E19,0.007964629
E19/P7,0.007916762
M12,0.007914717
M4*S2,0.007870654
V13/E19,0.007845966
P8/E19,0.007781027
V7/S2,0.0077343243
I2/E19,0.0075780046
E19*S5,0.0075217425
S5*P7,0.007496651
P7,0.007460566
M4*P7,0.007435825
I2/P7,0.007360378
S2*P7,0.0072899717
M4*E19,0.007184336
V7/E19,0.0071798055
V13*P7,0.0071643055
S2/I2,0.007121916
V13*V7,0.007084659
S5*P5,0.007077321
V13*S5,0.00703341
M4/V13,0.006881499
V13/P5,0.0068600136
P8/I2,0.006784254
P12,0.006704505
M2,0.006622462
I2*P7,0.006533629
P8*P5,0.0065313624
E19/S5,0.006256038
E19,0.0061716284
S5,0.005976441
I2*P5,0.005721788
M4*S5,0.0056119333
V7*S2,0.0054214452
V13/P8,0.005163775
V10,0.0044573043
P8,0.004396355
V13,0.0038756449
V7²,0.0030014194
M4,0.0029333495
S2,0.0026358792
V13³,0.0
V7³,0.0
M4³,0.0
P8³,0.0
S2³,0.0
