feature,combined_rank,importance,correlation
M4,1.0,0.059372349289938474,0.0644194973281995
V13,2.0,0.047165076932999324,0.05981520512654145
V7,5.0,0.040426078320969526,0.03033870160394757
P8,7.5,0.028315597131354342,0.0291027366534436
S2,9.0,0.01966089614388046,0.03668844921277788
I2,10.5,0.02643302457142569,0.02435942622127301
E19,11.0,0.03248753600442974,0.022827349405658254
S5,11.5,0.017386214904735565,0.038504236230176146
P5,16.0,0.02020953410659949,0.021601368364134444
P7,17.0,0.019167449290373062,0.021692367020677526
M2,17.5,0.014208719094857382,0.027459711831481087
V9,18.0,0.03439241778104343,0.013745508896050944
M3,21.0,0.02032182576136625,0.015135818553527865
P12,21.0,0.014288468999465707,0.02147944784165053
P10,21.5,0.01850221904054175,0.019880257418498932
V10,23.0,0.014799660189580678,0.019317277583203247
E12,24.0,0.009667138760521754,0.028826860882994788
P11,25.5,0.0188820089344066,0.012180710668126255
M12,25.5,0.00994104517715023,0.023785005895442253
S8,26.5,0.02553595634117273,0.008797577057477638
S12,27.5,0.01135681621445934,0.02057103206929652
M8,27.5,0.011200555992787721,0.021049999803632917
S6,31.5,0.008881979877223804,0.02136612327301983
P3,32.0,0.013582851182278182,0.010682709095021191
M1,34.5,0.005815503666351768,0.027855856783680025
E17,35.0,0.019181609914689295,0.006235016600272442
M11,37.0,0.018709305584788644,0.006005191439676762
E11,37.5,0.004795458379091708,0.030006989629369814
M17,39.0,0.0049349939185375944,0.02414768017467649
E9,39.0,0.007792782489017562,0.015091262600171169
S9,39.5,0.009764527707754206,0.009104096576739457
M18,40.0,0.007940569563390542,0.011957880351640042
P2,40.5,0.022750452702401794,0.004028369831867089
E18,41.0,0.010003353360237156,0.007780381317786448
S7,43.5,0.007447607641705847,0.011872241907895043
E3,44.5,0.022213078347844088,0.0022228596251431974
D2,45.75,0.0007059572602432026,0.03418545560638726
D1,47.25,0.000607278057260318,0.03418545560638726
P13,48.0,0.013285268018307553,0.004077299130112279
D8,48.5,0.000999771120017206,0.024686854103585454
E6,49.0,0.00487817754810608,0.012793745183509894
P4,50.0,0.013599306359113264,0.0027195923809487346
E5,51.0,0.006819803794803448,0.006987760925114487
P9,51.0,0.009164763513676965,0.00548153206820581
P6,52.0,0.021414672044276543,0.00033092615345231595
E13,53.0,0.005443051042428675,0.008759574063826442
E15,53.0,0.008035547556981094,0.005192373683486693
M7,53.0,0.006600732800609391,0.0065949632663497215
E7,53.0,0.002331965612205116,0.01596315075118106
E2,53.5,0.013071958027353912,0.0021438979434599066
M5,54.0,0.007590582312550383,0.00568953522100374
M15,54.0,0.009404933565242603,0.004228525948566638
V3,54.0,0.012148684911382556,0.0024041812301377917
E16,55.0,0.007367515693194403,0.005908717479771874
V2,55.5,0.012289477272611182,0.001889572409141917
I7,56.0,0.00959700098634586,0.003257612001678058
S3,56.0,0.0034017357620160066,0.01135890277140565
E8,56.5,0.012616706975162657,0.0016558399937757439
D6,57.0,0.000631733355224482,0.016915601936684323
V5,57.0,0.011647227370384716,0.0018765247910751037
M10,58.0,0.0044694396563896375,0.007978592786639494
M13,58.5,0.003592256789793497,0.008843597032560224
S10,59.0,0.00798296544844935,0.0028031974383586804
I6,59.5,0.006055295016308374,0.005348041632248712
D4,60.0,9.007346679793095e-05,0.0166288053742168
D5,60.0,0.00018183615440806045,0.016601855820272668
V12,60.0,0.0019950737883958586,0.00929608614217652
V6,60.5,0.0014202436111992703,0.010426941682853892
E1,60.5,0.004409506020116935,0.00669304280148194
I3,61.0,0.00609388828715216,0.004247840326355251
M9,62.5,0.009916478777713513,0.0011652786010773184
M6,62.5,0.0013879503918351685,0.00890702960681831
E4,62.5,0.0037716090274816905,0.006347822088541695
I4,63.5,0.007832438477737238,0.002112424510749382
I1,63.5,0.003493710178671826,0.006424624846469117
S1,65.0,0.004829491155727089,0.004610319265337586
D7,66.0,4.553785514198816e-05,0.010706466222193971
I8,67.0,0.005508418626497346,0.0027388806973636633
E14,68.5,0.007505050723587478,0.001503247484106934
V11,68.5,0.0006397277489630352,0.006816293182226157
M16,69.0,0.0022485673155570067,0.005671386213443837
P1,70.0,0.007675421081703518,0.0004316623083323997
I5,70.5,0.0036164127307330997,0.004207754142247743
I9,70.5,0.00298533189312691,0.004311093161194993
S4,71.5,0.006569418635220884,0.001252747648833891
E10,72.5,0.004525825121327928,0.0025259809022162402
M14,73.5,0.0016673099916825148,0.00423758776035191
E20,73.5,0.005396484386103825,0.0015696880701260153
D3,74.0,0.0004032873154006498,0.0059881670528167
V4,74.0,0.004899020442797509,0.0018678664282819604
V8,78.0,0.0007185214915045521,0.004030426737618744
S11,78.0,0.005238481492054914,9.47854843857188e-05
V1,86.5,0.001165717749754547,0.001118454567243159
D9,90.5,0.0004806948717956203,0.001079998192134911
