feature,perm_importance_mean,perm_importance_std
M4,0.016539280640176478,0.0009839801315165118
M4_vol_norm_20,0.010727744359859659,0.00044239339381642914
V13_vol_norm_20,0.00902973485946056,0.0007604560049653585
V7_vol_norm_60,0.005367112526149487,0.0005193215148942206
P8_trend,0.005348490649349213,0.0003979822241468932
I2_trend,0.005265396829825142,0.0006302462383241101
D8_trend,0.004796634998449523,0.00036304910234153466
P7,0.0047816324022902255,0.0003654972444929164
E19_rolling_std_5,0.00475454505686651,0.00046479310616297893
V13_lag1,0.004686328279323193,0.0005815733110868061
E19_vol_norm_5,0.004128328277715465,0.0001727674877856438
E19_vol_norm_20,0.003938338112220108,0.00040477993249792786
S2_ema_60,0.0038304483465097074,0.00038635083590763894
P6,0.003815582364767167,0.0002765083189594685
M4_vol_norm_5,0.0036083953135529036,0.0001844242719231097
E18,0.003566876932885055,0.00020564225153066592
P8_rolling_std_20,0.0034987850856281755,0.00013177992293570605
M4_rolling_mean_60,0.0034925454867353435,5.853865217912859e-05
E19,0.0034769098200792214,0.00026555177695845037
P10,0.0034763419693560225,0.0002915061726901817
M4_ema_5,0.0034184677696421973,0.00018741608322666334
V13_lag60,0.0033848267159812817,0.0002501329383292748
E19_lag5,0.003372474868461006,0.0004247382463531999
S2_ema_20,0.003088400015135406,0.0002975251622531374
V7_vol_norm_20,0.003085044505484891,0.00013711667480138874
S5_ema_60,0.0029776526868974364,0.00017588790502049377
E19_lag1,0.0028477269938784523,0.00016763214704353297
M4_ema_20,0.0027588221152268,0.0001558341291599886
M4_lag1,0.002710017255676689,0.00013936778669932848
M4_vol_norm_60,0.0026937196006083576,0.00023707226521171138
S2_lag40,0.00264408549449201,0.00020618899962387277
V13,0.002589362854749211,0.000278795809906101
V13_lag20,0.00248588338350757,0.00016275161239277168
V7_vol_norm_5,0.002484074045504803,0.00019913156080376528
S5_rolling_mean_5,0.0023704459843542857,0.00016172557722675816
M4_trend,0.0023512124442353287,0.0002105577101455098
E12_rolling_mean_5,0.002257246590047679,0.00030502344194010124
D8_ema_60,0.0022121348541300433,0.0002100646514809124
S5_vol_norm_5,0.0021997403133867444,0.0001820853898927141
M4_lag10,0.00215968952220742,0.0001590538657171658
M2_lag5,0.0021281080959566047,0.00020570070511827224
P8,0.0020790254031854303,0.00014419054604553747
S5_rolling_mean_20,0.002039494258227981,0.00015115973208490308
E19_vol_norm_60,0.0019636751087235282,0.00011228600653404769
S2_vol_norm_20,0.0019549774236982563,7.881456547871662e-05
M2_rolling_mean_5,0.0019260071675755719,0.00017287014273444307
S5_rolling_std_5,0.0018907561004261164,0.00016573818326411747
M4_lag5,0.0018880759350699884,8.322870047406064e-05
P8_return_5d,0.0018672090759298432,0.00014284238022259783
M4_return_20d,0.0018573367862777857,0.00014502744770628005
E3,0.0018504520531229974,0.0001400491712219861
S5_lag1,0.0018290319987998127,0.00012498035207963258
E19_lag10,0.0018005369338125244,0.00010232123783249882
S2_rolling_mean_10,0.001799566919136919,0.00016899115883265607
S5,0.0017913020534353397,0.00011816722548949734
S5_vol_norm_60,0.001789707773684901,8.378537708504987e-05
V13_rolling_std_60,0.001771079952920196,0.0002342393873003057
P8_rolling_std_10,0.0017662516998686595,0.00016230682982803772
S5_lag5,0.0017614762482079604,9.68598306335425e-05
D8_ema_20,0.001754584201278353,0.00025050897650567806
S12_lag10,0.0017400424262541403,0.0002074743007060357
P3,0.0017334288750724292,0.00012061613411638182
I2_return_5d,0.0017001762835910927,0.00013172159234549216
S2_lag10,0.0016902987928047231,0.00012794070285319814
E19_rolling_mean_20,0.0016133572238756111,5.746723265418527e-05
M2_lag1,0.001611982075248808,0.00013989012757564668
S5_ema_20,0.0015990575511819816,0.0001889148663387017
P5,0.0015933635665968504,7.14169366394771e-05
M4_lag40,0.001593027151112747,0.00016240178981461595
M12_trend,0.001586320354470827,0.00011727325515861773
P12,0.0015849443428879284,0.00016108242323464002
S5_vol_norm_20,0.0015846836894394811,0.00014782492572523395
M17_return_5d,0.0015620263141074564,0.00010327293386507969
E16,0.0015572127639326139,5.21857438120421e-05
S8,0.0015486491289107064,0.00012033902059235577
E19_trend,0.0015466722136295297,0.00014069728899076576
V13_return_20d,0.0015438791737560687,0.00012498024963207606
M3,0.0015343203156675477,9.230986847891523e-05
M4_return_5d,0.0015148404317607556,0.00017041359874591728
S5_rolling_mean_60,0.0014544117043336692,8.150537572531908e-05
P13,0.001428055112729687,0.00012382554145987492
V7_lag20,0.0014099192929160286,0.0001260519039413259
S12_lag40,0.0013959497025332833,0.00014287006207554744
P8_return_20d,0.0013794654036270338,6.375312506710637e-05
V7_return_5d,0.001379124352828276,0.00021133580243708406
E19_lag20,0.0013734949510418426,9.593416996516527e-05
V7_rolling_std_5,0.001364868838336697,0.00011831841941974416
E11_vol_norm_5,0.001356511855332232,0.00015017966599116975
I2_rolling_std_5,0.0013452790654818968,0.00013773164766319295
V13_return_60d,0.0013327168415066093,9.859638601321845e-05
V13_trend,0.0013294133911065265,7.058075280833128e-05
M12_lag60,0.0013134519959336788,0.00012302392978443276
S12_lag1,0.0013082951552935151,0.0003598795415773287
E17,0.0012983398134254974,0.00013478496767948197
M11,0.0012659286482307962,0.00012861925507906693
M2_vol_norm_20,0.0012603109539681134,0.0001482700047961499
P8_rolling_std_60,0.0012525237245619603,0.00011412130931186268
E12_vol_norm_5,0.001244725895433041,5.812033115949841e-05
P11,0.001232406311723344,0.0001283038139709262
M9,0.001228543801729176,0.0001167381553733635
