feature,shap_importance
M4,9.3531715e-05
M4_vol_norm_20,7.6182994e-05
V13_vol_norm_20,7.418454e-05
D8_trend,5.1941955e-05
E19_rolling_std_5,4.9400638e-05
E12_rolling_mean_5,4.534416e-05
S2_ema_60,4.1680367e-05
I2_trend,4.0172647e-05
V7_vol_norm_60,3.9362534e-05
V13_lag1,3.2442276e-05
E19_vol_norm_20,3.0304747e-05
E19_lag5,2.960281e-05
P6,2.9336805e-05
S5_lag1,2.910181e-05
D8_ema_60,2.8902385e-05
M4_vol_norm_5,2.8586996e-05
P8_trend,2.6766404e-05
V13_lag60,2.6605789e-05
S5_ema_60,2.568166e-05
V13,2.5447262e-05
M12_trend,2.520292e-05
S2_ema_20,2.4012894e-05
E19,2.370157e-05
S2_rolling_mean_10,2.3183844e-05
P10,2.2351993e-05
V7_vol_norm_20,2.1112142e-05
D8_ema_20,2.072955e-05
P7,2.0354728e-05
E18,1.935392e-05
S2_lag40,1.8958452e-05
E19_vol_norm_5,1.8957366e-05
M4_lag1,1.8356026e-05
V13_lag20,1.8203273e-05
V7_vol_norm_5,1.814305e-05
V7,1.7879383e-05
M4_lag10,1.7725411e-05
V7_lag20,1.75157e-05
V13_ema_5,1.7329294e-05
M4_ema_5,1.7210581e-05
S5_rolling_mean_5,1.6829796e-05
M4_vol_norm_60,1.6739803e-05
S5_vol_norm_5,1.671065e-05
V7_rolling_mean_5,1.623605e-05
P8_rolling_std_20,1.586799e-05
S5_rolling_std_5,1.5018109e-05
E19_vol_norm_60,1.495213e-05
M4_trend,1.4785099e-05
E11_lag60,1.4737185e-05
M4_rolling_mean_60,1.4650572e-05
M4_ema_20,1.4595743e-05
S5,1.44418345e-05
E19_lag1,1.3592513e-05
S12_lag1,1.3205645e-05
E12_lag1,1.3148417e-05
S2_vol_norm_20,1.2887445e-05
E19_trend,1.2858201e-05
M2_rolling_std_10,1.2760168e-05
P12,1.2410356e-05
P8_lag60,1.2271697e-05
P8_return_60d,1.209154e-05
S5_rolling_mean_20,1.2033589e-05
I2_return_5d,1.2013689e-05
P8_rolling_std_10,1.1916197e-05
S5_trend,1.1751408e-05
E3,1.17451145e-05
S2,1.1682984e-05
E11_vol_norm_5,1.1418683e-05
E11_lag20,1.1280943e-05
M4_lag40,1.1236919e-05
S5_rolling_mean_60,1.1119606e-05
E12_vol_norm_5,1.1003037e-05
E19_vol_5,1.0830939e-05
V7_rolling_std_5,1.0665097e-05
E19_lag20,1.0354126e-05
V13_lag40,1.0341923e-05
S5_vol_norm_20,1.0239466e-05
V13_rolling_std_60,9.869962e-06
E19_rolling_mean_20,9.817864e-06
S2_lag10,9.707896e-06
E2,9.679792e-06
S5_ema_5,9.6639005e-06
M4_lag5,9.553988e-06
E19_return_20d,9.477273e-06
P8_return_5d,9.425129e-06
E12_ema_5,9.415196e-06
P8,9.212029e-06
M12_lag40,9.149248e-06
E12_lag60,9.147942e-06
E12_lag40,9.133391e-06
E17,9.13101e-06
M17_return_5d,8.9740015e-06
P11,8.7292465e-06
P9,8.700911e-06
M12_ema_60,8.542062e-06
M4_rolling_mean_5,8.487317e-06
M4_return_20d,8.459798e-06
V13_vol_norm_5,8.421454e-06
S12_lag40,8.271358e-06
S5_lag5,8.266046e-06
V7_return_5d,8.221388e-06
