feature,xgb_gain
E19_vol_regime_60,0.005662745796144009
M2_rolling_mean_10,0.0050853099673986435
V10_lag40,0.004753211513161659
E7_return_60d,0.003952164202928543
V10_rolling_mean_20,0.003421294502913952
P8_rolling_mean_5,0.003401131136342883
M1_vol_5,0.0033936963882297277
E11_rolling_mean_10,0.0033640190958976746
M1_ema_60,0.0033581398893147707
E7_vol_norm_20,0.003274340648204088
V7_ema_5,0.003224325831979513
P8_vol_norm_60,0.0030781845562160015
M17_lag60,0.003059682436287403
E7_trend,0.0030096923001110554
V10_return_20d,0.0030042666476219893
P8_lag1,0.003004025435075164
D1_lag1,0.0028983347583562136
E11_rolling_std_20,0.002842066576704383
D8_vol_5,0.002825395204126835
E7_lag1,0.002824605442583561
V10_ema_60,0.0028163709212094545
M2_ema_5,0.00281090778298676
E19_rolling_std_20,0.0027303884271532297
P8_trend,0.0027007723692804575
M17_vol_20,0.002672784961760044
S12_rolling_std_10,0.00262639787979424
S12_return_60d,0.002623017644509673
S5_ema_20,0.002621712628751993
V7_rolling_mean_60,0.002607374917715788
S5_vol_20,0.0025989809073507786
V10_lag10,0.0025919924955815077
P8_vol_60,0.0025848611257970333
S12_vol_norm_60,0.0025811633095145226
V13_ema_20,0.0025807225611060858
E19_ema_20,0.002571229124441743
V10_return_5d,0.0025643911212682724
D1_trend,0.002560833701863885
V7_ema_20,0.0025593796744942665
M2_vol_norm_60,0.002557347295805812
I2_trend,0.0025270620826631784
V7,0.0025179076474159956
P8,0.00250665913335979
M2_lag60,0.0024976793210953474
P8_lag10,0.002485457342118025
E19_rolling_mean_10,0.002485331380739808
M1_lag1,0.0024617337621748447
P8_rolling_std_60,0.0024453336372971535
V13_vol_norm_20,0.002438502386212349
D8_vol_norm_20,0.0024321763776242733
M12_rolling_mean_20,0.0024190014228224754
V10_rolling_std_5,0.002415608149021864
S5_rolling_mean_10,0.0024018846452236176
M2_rolling_std_20,0.0023960918188095093
V13,0.0023955535143613815
V13_vol_60,0.0023948366288095713
E19_vol_norm_60,0.002389117842540145
S2_vol_norm_20,0.002379091689363122
S12_lag1,0.0023780714254826307
V13_rolling_mean_20,0.0023766793310642242
V13_ema_5,0.002337777754291892
I2_ema_60,0.0023204833269119263
M17_rolling_std_5,0.0023187091574072838
P8_rolling_std_20,0.00230839429423213
S5_lag60,0.002296695252880454
M2_lag5,0.0022724212612956762
V7_rolling_mean_10,0.0022677842061966658
S12_lag20,0.002255556872114539
V13_rolling_std_5,0.002255536150187254
M2_vol_norm_20,0.0022517701145261526
S5_rolling_mean_20,0.002248395001515746
M4_rolling_mean_60,0.002246629213914275
P8_ema_20,0.002231573686003685
M4_return_60d,0.0022269352339208126
V10_rolling_std_10,0.0022267932072281837
E12_rolling_mean_60,0.0022266837768256664
V7_trend,0.002226520562544465
E19_trend,0.0022194762714207172
E19_lag5,0.0022182173561304808
S12_lag40,0.0022168292198330164
V7_vol_norm_60,0.002214664127677679
S12_rolling_mean_5,0.002211727434769273
M4_trend,0.0022107032127678394
D8_ema_5,0.0022099274210631847
I2_rolling_mean_20,0.002197596477344632
M17_rolling_mean_60,0.002192922169342637
E7_return_20d,0.0021915778052061796
M4_ema_5,0.002188720041885972
V7_vol_norm_20,0.002185954712331295
D2_lag5,0.002170274034142494
M12_rolling_std_20,0.002169261686503887
M2_rolling_mean_20,0.0021586776711046696
M1_rolling_mean_5,0.0021585794165730476
E19_lag40,0.0021579223684966564
M17_trend,0.002154032699763775
V9,0.0021527071949094534
P10,0.002143335761502385
E11_rolling_std_10,0.002137100789695978
M17_return_60d,0.002134490991011262
I2_vol_norm_20,0.0021324469707906246
M4_vol_norm_60,0.0021308381110429764
