feature,importance,abs_correlation,combined_score
V13*I2*S5,0.006886535260822658,0.07022640846427353,0.025888497221857917
E19*P7,0.007941418680421225,0.06704473218687146,0.025672412732356296
M4*I2*S5,0.003512822260698254,0.07345736536980062,0.024496185193428964
V13²,0.005070086119048751,0.06313861765442037,0.022490645579660233
M4*V7,0.006441825534202579,0.05958932720785178,0.022386076036297338
V7*P7,0.008535806266995979,0.053842077024925286,0.02212768749437477
V13³,0.0033628399653371785,0.06201915948045895,0.020959735819873707
V13*P7,0.006599230440874957,0.05430082856351473,0.02090970987766689
M4*V13*V7,0.00546292538865607,0.05687231105605872,0.020885741088876867
M4*V13,0.004876698461961773,0.05821042991164847,0.02087681789686778
M4*V13*S5,0.00460780664631886,0.05830175843642282,0.020715992183350046
V13*E19,0.006251798339661452,0.05398252317257434,0.020571015789535317
V13*V7,0.004744730411653279,0.057309251115424745,0.02051408662278472
V13*V7*E19,0.006484376836724995,0.05236423875793179,0.02024833541308703
M4*V13*E19,0.004176479353419664,0.05714325786648428,0.02006651290733905
market_turbulence,0.005567131212637769,0.05170521437404841,0.01940855616106096
M4*E19,0.004800371434067622,0.05312952768067534,0.019299118308049937
M4*V7*E19,0.004930407268271304,0.051409203874863245,0.018874046250248886
M4*V13*S2*I2,0.005562242443305373,0.04947480442434912,0.018736011037618495
V13⁴,0.0019234645932467616,0.057961444438495706,0.018734858546821442
M4*V13*V7*S2,0.004610411056898851,0.04917896985315345,0.01798097869577523
vol_mean_V,0.006492411414863044,0.04168620655923497,0.01705054995817462
vol_composite_V_all,0.005890224511633614,0.04270136098376891,0.0169335654532742
M4*V13*S2,0.003257759195834839,0.04832375523766144,0.01677755800838282
M4*S2*I2,0.00633425117418818,0.04085231720304378,0.016689670982844858
M4*V13*V7*I2,0.010481044895246625,0.03040306028983356,0.016457649513622705
V13*S2*E19,0.004688177665935938,0.04304930407997433,0.016196515590147457
M_min,0.0037282895652284757,0.04479723763990895,0.016048973987632616
vol_composite_V,0.00421934704871911,0.04355911873381169,0.016021278554246884
V_max,0.0037676464134546003,0.04398312118858582,0.015832288845993966
M4*V7*S2*I2,0.0072333042990432046,0.035776517662554984,0.015796268308096738
V_mean,0.005525022794380343,0.039070895930960935,0.01558878473535452
cross_vol_MV,0.0028145135507800794,0.045160130729293806,0.015518198704334197
P_max,0.00447296515838389,0.04080881354546266,0.01537371967450752
V13*V7*S2,0.0050501451211687086,0.03873840696864393,0.015156623675411275
S2³,0.00406501268836419,0.03972496712076231,0.014762999018083625
M4*S2*E19,0.003226191138244186,0.04134603188856348,0.014662143363339973
M4*V13*I2,0.008076462861856966,0.029688158096607607,0.014559971432282156
V_range,0.0036414265439949057,0.040032389878229026,0.014558715544265141
V13*P5,0.003391238667483728,0.040089476546115665,0.014400710031073308
P8*I2*E19,0.0073200158164074955,0.030870550132639427,0.014385176111277074
M4*V7*S2,0.005339296383112227,0.03536574513549092,0.014347231008825834
M4*V13*V7*P8,0.004223779361512584,0.036915316439416916,0.014031240484883883
V7*P8*I2,0.007513306993190659,0.028814065495071397,0.01390353454375488
V_std,0.002395964385701793,0.040552523215830964,0.013842932034740544
M4*E19*S5,0.00460484067939398,0.03520426942428515,0.013784669302861331
V7*S2*E19,0.005824563874515511,0.032183059744113084,0.013732112635394781
P_mean,0.00430789738525449,0.03523989776705154,0.013587497499793605
M4*P5,0.0038381724786950727,0.036236364313279854,0.013557630029070506
M4*S2*S5,0.0027198811649007987,0.03880469918306678,0.013545326570350593
P_min,0.004052357285446205,0.035559186263781566,0.013504405978946813
M4*P7,0.004441731841613771,0.03447499572493917,0.01345171100661139
S5*P5,0.0036544486560783074,0.035895046370343,0.013326627970357715
S2*E19*S5,0.004317571359255484,0.03392058212327215,0.013198474588460483
M4³,0.005642742185299902,0.030791889369633427,0.01318748634059996
I2*E19,0.007663272902740767,0.025868147496121055,0.013124735280754852
V7²,0.00501865258053213,0.03155847880386754,0.012980600447532752
V7³,0.0049081521416189005,0.03156247109315176,0.012904447827078757
V13*E19*S5,0.005767625621884071,0.029499403602291013,0.012887159016006153
V13*P8*I2,0.0035244660556337545,0.034666934617981,0.012867206624337928
M4*P8,0.0036449127904690575,0.03430223370131881,0.012842109063723982
V13*S2*S5,0.0026635885388428945,0.035339161318483865,0.012466260372735185
V7⁴,0.003684688967014793,0.032914725223166574,0.012453699843860326
V7*E19,0.00514013396687108,0.029466728129932524,0.012438112215789512
sentiment_dispersion,0.0030421786783139623,0.034191601876993674,0.012387005637917876
V7*S2*S5,0.004038831681938769,0.030688426692616105,0.012033710185141969
V7*E19*S5,0.005395886758525491,0.027491635647959308,0.012024611425355635
E19*S5,0.004806031145791367,0.02886671448787496,0.012024236148416445
total_volatility,0.004929541881270804,0.028536343767602952,0.012011582447170446
V13*S2,0.0020998617628858753,0.034203635482900535,0.011730993878890272
ratio_V7_to_S2,0.002213650725402566,0.03381966280888978,0.01169545435044873
ratio_V13_to_S2,0.0025456452555105633,0.032081850901625825,0.011406506949345141
M4*V7*P8*I2,0.0032582842983782234,0.030304556980162545,0.01137216610291352
M4*V7*S5,0.00443512785560878,0.027328641855660325,0.011303182055624243
V13/S2,0.0022755564043066673,0.032081850901625825,0.011217444753502413
V7*S5,0.004320807760719371,0.027305365193307764,0.011216174990495887
M4*P8*I2,0.0032790470050216612,0.02951648567793202,0.011150278606894768
V7*S2,0.003033827358982415,0.029970451210655964,0.01111481451448448
V7*P8*E19,0.006082006245170024,0.022701112170250597,0.011067738022694194
V7/S2,0.0012430540262596474,0.03381966280888978,0.011016036661048688
M_mean,0.0035261650989928837,0.0284029408843237,0.010989197834592127
S2*I2*S5,0.0038714642529993856,0.027310954381463925,0.010903311291538747
market_vol_composite,0.003679486318862891,0.027065071085206963,0.010695161748766113
normalized_market,0.0021476839966434965,0.030618045896938798,0.010688792566732086
S_range,0.0024906237726216407,0.029647212862855706,0.01063760049969186
V13*V7*P8*I2,0.005387710682985147,0.02240646700723688,0.010493337580260668
M4*S2,0.0032123044911793555,0.027242279124061828,0.010421296881044097
S_std,0.001993659773027138,0.0300611696215331,0.010413912727578925
V7*I2,0.007875014715927125,0.016093221865804447,0.01034047686089032
S2*S5,0.0024991230776269698,0.02855933964676648,0.010317188048368823
S2*E19,0.0033862247905428245,0.026291267339916654,0.010257737555354973
S_max,0.0033785526379890326,0.025891048087378958,0.01013230127280601
V13*P8*E19,0.0028930200796161987,0.02694196907435614,0.010107704778038181
P8³,0.0048724998724705895,0.022256474305607735,0.010087692202411732
(V7*S2)/I2,0.002072906461905914,0.02875126373251065,0.010076413643087334
V13*V7*P8,0.005510383828323757,0.02000958720254568,0.009860144840590335
ratio_S2_to_P8,0.0040639442956916325,0.023124703033758492,0.009782171917111691
S5*P7,0.003460115834256951,0.0245055996765889,0.009773760986956535
(M4*P8)/S2,0.0024179617750516437,0.0266753517018225,0.0096951787530829
V13*V7*S5,0.00407137841473707,0.02203531691297265,0.009460559964207743
